Fid,age,gender,lunch,parental_level_of_education,degree_t,race_ethnicity,test_preparation_course,math_score,reading_score,writing_score,Internships,solving_tasks_by_time,taks_submitted_on_date,Label
192.229.163.180-10.42.0.211-443-44480-6,22,female,standard,bachelor's degree,Sci&Tech,group B,none,72,72,74,1,1,0,0
10.42.0.211-104.24.19.3-38918-80-6,21,female,standard,master's degree,Sci&Tech,group C,completed,69,90,88,0,1,0,1
10.42.0.211-23.194.108.108-54658-443-6,22,female,standard,master's degree,Comm&Mgmt,group B,none,90,95,93,1,0,0,0
151.101.21.140-10.42.0.211-443-56696-6,21,male,free/reduced,associate's degree,Sci&Tech,group A,none,47,57,44,0,0,0,0
10.42.0.211-10.42.0.1-34682-53-17,22,male,standard,master's degree,Comm&Mgmt,group C,none,76,78,75,0,1,0,1
10.42.0.211-10.42.0.1-28333-53-17,22,female,standard,associate's degree,Sci&Tech,group B,none,71,83,78,0,0,0,1
10.42.0.42-37.1.203.158-43380-443-6,21,female,standard,master's degree,Comm&Mgmt,group B,completed,88,95,92,0,0,0,1
220.243.219.55-10.42.0.211-80-56695-6,21,male,free/reduced,master's degree,Sci&Tech,group B,none,40,43,39,1,0,0,1
10.42.0.151-106.39.169.66-52382-80-6,21,male,free/reduced,high school,Comm&Mgmt,group D,completed,64,64,67,2,0,0,0
180.149.134.141-10.42.0.211-80-40608-6,21,female,free/reduced,high school,Comm&Mgmt,group B,none,38,60,50,1,1,1,1
10.42.0.151-10.42.0.1-40056-53-17,22,male,standard,associate's degree,Comm&Mgmt,group C,none,58,54,52,1,0,0,1
10.42.0.211-104.192.110.245-59749-80-6,22,male,standard,associate's degree,Comm&Mgmt,group D,none,40,52,43,1,0,1,0
10.42.0.211-104.192.110.245-38733-443-6,21,female,standard,high school,Comm&Mgmt,group B,none,65,81,73,2,1,0,0
10.42.0.211-10.42.0.1-63229-53-17,21,male,standard,master's degree,Comm&Mgmt,group A,completed,78,72,70,1,0,0,0
172.217.10.238-10.42.0.42-443-55300-6,21,female,standard,master's degree,Comm&Mgmt,group A,none,50,53,58,2,0,1,0
10.42.0.211-10.42.0.1-7098-53-17,22,female,standard,some high school,Comm&Mgmt,group C,none,69,75,78,0,1,1,1
203.205.151.47-10.42.0.211-80-54828-6,22,male,standard,high school,Comm&Mgmt,group C,none,88,89,86,1,1,1,0
172.217.10.65-10.42.0.211-443-47011-6,21,female,free/reduced,some high school,Comm&Mgmt,group B,none,18,32,28,0,0,1,0
10.42.0.211-104.193.88.109-33990-80-6,21,male,free/reduced,master's degree,Comm&Mgmt,group C,completed,46,42,46,1,0,0,0
10.42.0.211-64.71.142.124-35792-443-6,22,female,free/reduced,associate's degree,Comm&Mgmt,group C,none,54,58,61,1,0,0,0
10.42.0.211-31.13.80.5-40597-443-6,22,male,standard,high school,Comm&Mgmt,group D,none,66,69,63,0,0,1,0
180.149.136.194-10.42.0.211-80-43789-6,21,female,free/reduced,master's degree,Comm&Mgmt,group B,completed,65,75,70,1,0,0,0
172.217.3.106-10.42.0.42-443-60833-6,22,male,standard,master's degree,Sci&Tech,group D,none,44,54,53,0,0,1,0
203.205.179.170-10.42.0.151-80-48208-6,22,female,standard,some high school,Sci&Tech,group C,none,69,73,73,1,0,1,1
172.217.12.132-10.42.0.211-443-56866-6,22,male,free/reduced,bachelor's degree,Sci&Tech,group D,completed,74,71,80,0,0,1,0
10.42.0.211-10.42.0.1-1238-53-17,21,male,free/reduced,master's degree,Comm&Mgmt,group A,none,73,74,72,0,1,0,0
10.42.0.42-123.125.115.164-39501-443-6,22,male,standard,master's degree,Comm&Mgmt,group B,none,69,54,55,1,0,0,0
175.100.207.232-10.42.0.151-80-40406-6,22,female,standard,bachelor's degree,Comm&Mgmt,group C,none,67,69,75,1,0,0,0
10.42.0.42-23.192.76.180-42213-80-6,22,male,standard,high school,Comm&Mgmt,group C,none,70,70,65,1,0,0,0
10.42.0.211-77.234.41.79-43584-443-6,21,female,standard,master's degree,Comm&Mgmt,group D,none,62,70,75,0,0,0,1
157.240.2.20-10.42.0.42-443-33417-6,22,female,standard,master's degree,Comm&Mgmt,group D,none,69,74,74,1,1,0,0
172.217.6.238-10.42.0.42-443-57705-6,21,female,standard,master's degree,Sci&Tech,group B,none,63,65,61,1,0,0,0
10.42.0.211-119.6.229.36-42616-80-6,21,female,free/reduced,master's degree,Comm&Mgmt,group E,none,56,72,65,1,0,0,1
